class,difficulty,question,option_A,option_B,option_C,option_D,answer
1,easy,Write the number that comes after 7.,8,7,9,6,A
1,easy,How many fingers are there on one hand?,6,4,5,3,C
1,easy,Add: 3 + 2 = ?,4,5,6,3,B
1,easy,Subtract: 5 - 2 = ?,2,3,4,1,B
1,easy,Count and write how many apples are shown (picture-free): 4 apples.,3,4,5,6,B
1,easy,"Which shape has 3 sides: square, triangle, or circle?",square,circle,triangle,rectangle,C
1,medium,Add: 9 + 6 = ?,15,14,16,13,A
1,medium,Subtract: 15 - 7 = ?,7,9,8,6,C
1,medium,"Fill in the missing number: 4, 5, __, 7.",5,6,7,8,B
1,medium,Write the number that is 2 less than 12.,10,9,11,8,A
1,medium,"If you have 2 candies and your friend gives 3 more, how many candies in total?",4,5,6,3,B
1,medium,Group 10 objects into two equal parts. How many in each part?,4,5,6,8,B
1,hard,Add three numbers: 4 + 7 + 6 = ?,17,16,18,15,A
1,hard,There are 12 birds and 5 fly away. How many birds remain?,8,6,7,5,C
1,hard,Share 9 sweets equally among 3 children. How many each?,2,3,4,6,B
1,hard,Complete: 8 + __ = 15.,6,7,8,5,B
1,hard,Which is greater: 14 or 41? (choose),14,41,They are equal,Cannot say,B
1,hard,Write the two-digit number formed by digits 1 and 3.,31,13,103,130,B
2,easy,Add: 12 + 5 = ?,17,16,18,15,A
2,easy,Subtract: 20 - 9 = ?,9,11,12,13,B
2,easy,What is double of 6?,6,10,12,8,C
2,easy,Count by twos: write next number after 10.,11,12,13,14,B
2,easy,"Write the ordinal form of 3 (e.g., 1st, 2nd, ...).",3rd,3th,third,3,A
2,easy,How many sides does a rectangle have?,3,4,5,6,B
2,medium,Add: 27 + 14 = ?,40,41,39,42,B
2,medium,Subtract: 46 - 18 = ?,26,27,28,29,C
2,medium,"If 5 groups of 4 apples, how many apples?",20,18,9,15,A
2,medium,"Write the time shown as ""half past 3"" in hours and minutes.",3:00,3:15,3:30,4:00,C
2,medium,Round 34 to nearest ten.,30,34,40,35,A
2,medium,Find the missing number: 6 × __ = 36.,5,6,7,8,B
2,hard,Add: 58 + 27 = ?,85,84,86,83,A
2,hard,Subtract: 100 - 37 = ?,63,67,73,53,A
2,hard,Divide: 48 ÷ 6 = ?,6,7,8,9,C
2,hard,"If a ribbon 24 cm is cut into 4 equal pieces, how long is each piece?",4 cm,6 cm,8 cm,12 cm,B
2,hard,Write all even numbers between 10 and 20.,"12,14,16,18","11,13,15,17","10,12,14,16,18,20","12,13,14,15",A
2,hard,Solve: __ + 19 = 45.,24,26,25,23,B
3,easy,Add: 123 + 45 = ?,168,167,170,158,A
3,easy,Subtract: 200 - 76 = ?,134,124,144,114,B
3,easy,What is 3 × 7?,21,20,24,18,A
3,easy,Write fractions: one half as a fraction.,1/3,1/2,2/3,1/4,B
3,easy,Which is greater: 305 or 350?,305,350,They are equal,Cannot say,B
3,easy,Count the number of tens in 140.,14,4,140,10,A
3,medium,Multiply: 14 × 6 = ?,84,80,90,70,A
3,medium,Divide: 81 ÷ 9 = ?,8,9,7,10,B
3,medium,Add: 256 + 348 = ?,604,594,614,598,A
3,medium,Write the fraction for 3 out of 8 objects.,3/8,1/8,3/4,8/3,A
3,medium,Convert 2 tens and 7 ones to number.,27,20,72,17,A
3,medium,Find perimeter of a rectangle with sides 7 cm and 4 cm.,22 cm,14 cm,28 cm,18 cm,A
3,hard,Multiply: 23 × 5 = ?,115,110,120,105,A
3,hard,Subtract: 1000 - 589 = ?,411,421,391,409,A
3,hard,"If each packet has 12 candies, how many candies in 9 packets?",96,108,112,100,B
3,hard,Write 0.5 as a fraction.,1/2,1/3,5/10,2/5,A
3,hard,Find area of a rectangle with length 8 cm and width 5 cm.,40 cm²,13 cm²,30 cm²,45 cm²,A
3,hard,Solve: 7 × (4 + 3) = ? (use brackets),49,42,56,45,A
4,easy,Add: 345 + 128 = ?,473,463,483,453,A
4,easy,Subtract: 500 - 267 = ?,233,243,213,253,A
4,easy,Multiply: 9 × 8 = ?,72,81,64,69,A
4,easy,Write the fraction for 5 out of 10.,1/2,1/3,2/5,5/10,A
4,easy,What is 1/4 of 20?,4,5,6,8,B
4,easy,"Find the next number in pattern: 5, 10, 15, __.",17,20,25,18,B
4,medium,Divide: 144 ÷ 12 = ?,12,14,10,16,A
4,medium,Find LCM of 6 and 8 (smallest common multiple).,24,48,12,16,A
4,medium,Convert 3/4 to a decimal.,0.75,0.5,0.25,0.33,A
4,medium,Perimeter of square with side 9 cm = ?,36 cm,18 cm,27 cm,9 cm,A
4,medium,Add: 789 + 214 = ?,1003,993,1001,1004,A
4,medium,Find the missing number: __ × 7 = 315.,45,35,40,50,A
4,hard,Area of triangle with base 10 cm and height 6 cm = ? (use 1/2 × base × height),30 cm²,60 cm²,16 cm²,40 cm²,A
4,hard,Simplify: 15 ÷ (3 × 1) + 4 = ?,9,8,5,10,A
4,hard,A rectangular garden 12 m by 5 m — how much fencing for all sides?,34 m,60 m,24 m,30 m,A
4,hard,"If pizza is cut into 8 equal slices and you eat 3, what fraction is left?",3/8,5/8,1/2,2/3,B
4,hard,Round 476 to nearest hundred.,400,500,480,470,B
4,hard,"A box contains 60 apples, packed in boxes of 6. How many boxes?",8,9,10,12,C
5,easy,"Add: 1,234 + 567 = ?",1801,1791,1701,1901,A
5,easy,"Subtract: 2,000 - 1,356 = ?",644,654,634,624,A
5,easy,Multiply: 12 × 11 = ?,132,121,142,112,A
5,easy,Write decimal for 3/10.,0.03,0.3,3.0,0.33,B
5,easy,What is 10% of 200?,20,10,200,2,A
5,easy,Name a polygon with 5 sides.,square,triangle,pentagon,hexagon,C
5,medium,"Find mean (average) of: 5, 7, 9, 11.",8,7,9,8.5,A
5,medium,Calculate perimeter of rectangle 15 cm and 8 cm.,23 cm,46 cm,30 cm,40 cm,B
5,medium,Simplify: 25 ÷ 5 + 6 × 2 = ?,10,17,20,16,B
5,medium,Find area of square with side 7 cm.,49 cm²,14 cm²,28 cm²,56 cm²,A
5,medium,Convert 0.75 to fraction.,3/4,1/2,75/100,2/3,A
5,medium,"If a book costs ₹120 and discount is 10%, what is sale price?",₹108,₹112,₹100,₹110,A
5,hard,Find HCF (GCD) of 36 and 48.,6,12,18,24,B
5,hard,Solve: 3/4 + 1/6 = ? (common denominator),11/12,5/6,2/3,13/12,A
5,hard,Find area of triangle with base 14 cm and height 9 cm.,63 cm²,126 cm²,23 cm²,63 m²,A
5,hard,"If speed = 60 km in 1.5 hours, what is speed in km/h?",40 km/h,45 km/h,30 km/h,60 km/h,A
5,hard,"Round 3,749 to nearest thousand.",3000,4000,3500,3749,B
